"Avance de siembras y cosechas",,,,,
,,,,,
"PRIMAVERA-VERANO",,,,,
"2010",,,,,
"RIEGO+TEMPORAL",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Situación al 31 de ENERO de 2011","Situación al 31 de ENERO de 2011",,,,
"Producto","sembrada","siniestrada","cosechada","obtenida","obtenido"
"AVENA FORRAJERA EN VERDE","2,480","727","1,753","17,486","9.975"
"BROCOLI","270","","270","6,371","23.596"
"CALABACITA","138","","138","3,570","25.870"
"CEBOLLA","102","","102","3,453","33.853"
"CHILE VERDE","889","","889","13,562","15.255"
"COLIFLOR","140","","140","4,313","30.807"
"FRIJOL","11,471","5,073","6,398","3,452","0.539"
"LECHUGA","662","","662","26,264","39.674"
"MAIZ FORRAJERO EN VERDE","59,940","9,884","50,056","1,110,241","22.180"
"MAIZ GRANO","46,350","26,528","19,822","51,630","2.605"
"PEPINO","108","","108","4,042","37.426"
"SORGO FORRAJERO EN VERDE","1,504","10","1,494","20,986","14.047"
"TOMATE ROJO (JITOMATE)","314","","314","9,312","29.656"
"TOMATE VERDE","287","","287","6,029","21.007"
"ZANAHORIA","63","","63","1,424","22.603"
"TOTAL","124,718","42,222","82,496","",""
"Datos Preliminares.Fuente: Elaborado por el Servicio de Información Agroalimentaria y Pesquera (SIAP), con información de las Delegaciones de la SAGARPA.",,,,,
